Name,type,length,width,crossbonded,gauge min,gauge max,min spacing,maxspacing,left hand tile width,Image,tile datasheet link
500x250 Slate 75mm,slate,500,250,cross,195,210,1,7,367,,
CUPA 12 Spanish Slate 500x250,slate,500,250,cross,200,225,1,7,0,,
Welsh Slate 400x250,slate,400,250,cross,150,175,1,7,0,,
Welsh Slate 300x200,slate,300,200,cross,100,125,1,7,0,,
Welsh Penrhyn Capital Grade Slate 500x300,slate,500,300,cross,200,225,1,7,0,,
CUPA 5 Spanish Slate,slate,500,250,cross,200,225,1,7,0,,
Delabole Slate,slate,500,250,cross,200,225,1,7,0,,
Ffestiniog Blue Grey Slate,slate,500,300,cross,200,225,1,7,0,,
Westmorland Green Slate,slate,500,300,cross,200,225,1,7,0,,
Marley Birkdale 600x300,fibre-cement-slate,600,300,cross,255,275,1,7,0,,
Cembrit Jutland 600x300,fibre-cement-slate,600,300,cross,255,275,1,7,0,,
SVK Ardonit 600x300,fibre-cement-slate,600,300,cross,255,275,1,7,0,,
Redland 49,interlocking-tile,382,200,straight,0,343,1,7,0,,
Marley Modern,interlocking-tile,420,292,cross,293,343,1,7,0,,
Redland Regent,interlocking-tile,418,300,straight,0,343,1,7,0,,
Redland Mini Stonewold,interlocking-tile,418,294,straight,293,343,1,7,334,,
Marley Mendip,interlocking-tile,420,298,straight,0,343,1,7,333,,
Marley Mendip 12.5 Low Pitch,interlocking-tile,420,298,straight,0,320,1,7,0,,
Sandtoft Double Pantile,interlocking-tile,420,300,straight,0,0,1,7,0,,
Marley Anglia,interlocking-tile,387,204,straight,0,0,1,7,0,,
Marley Ludlow Major,interlocking-tile,420,295,straight,0,0,1,7,0,,
Sandtoft Shire Pantile,interlocking-tile,380,200,straight,0,0,1,7,0,,
Redland Fenland Pantile,interlocking-tile,381,200,straight,0,0,1,7,0,,
Tudor Traditional Handmade Clay Plain Tile,plain-tile,265,165,cross,100,100,1,7,0,,
Keymer Traditional Handmade Clay Plain Tile,plain-tile,265,165,cross,0,0,1,7,0,,
Spicer Handmade Clay Peg Tile,plain-tile,255,150,cross,0,0,1,7,0,,
Marley Acme Single Camber,plain-tile,265,165,cross,100,100,1,7,165,,
Wolds Clay Pantile,pantile,393,195,straight,323,323,1,7,245,,
William Blyth Barco,pantile,393,195,straight,323,323,1,7,245,,
